From Cutflow bin 8
Data_hist,0.0
ZTT,0.0
TT,0.0
ST,0.0
VV,0.0
otherMc,0.0
Wjets,0.0
mc sum,16211545.831054688
From Cutflow bin 8
Data_hist,0.0
ZTT,0.0
TT,0.0
ST,0.0
VV,0.0
otherMc,0.0
Wjets,0.0
mc sum,16211545.831054688
From Cutflow bin 8
Data_hist,0.0
ZTT,0.0
TT,0.0
ST,0.0
VV,0.0
otherMc,0.0
Wjets,0.0
mc sum,16211545.831054688
From Cutflow bin 5
Data_hist,205671.0
ZTT,256383.0
TT,75137.53125
ST,17933.73828125
VV,272105.9375
otherMc,1356325.25
Wjets,10391.05078125
mc sum,16211545.831054688
From Cutflow bin 5
Data_hist,205671.0
ZTT,256383.0
TT,75137.53125
ST,17933.73828125
VV,272105.9375
otherMc,1356325.25
Wjets,10391.05078125
mc sum,16211545.831054688
From Cutflow bin 5
Data_hist,205671.0
ZTT,256383.0
TT,75137.53125
ST,17933.73828125
VV,272105.9375
otherMc,1356325.25
Wjets,10391.05078125
mc sum,16211545.831054688
From Cutflow bin 5
Data_hist,205671.0
ZTT,256383.0
TT,75137.53125
ST,17933.73828125
VV,272105.9375
otherMc,1356325.25
Wjets,10391.05078125
mc sum,16211545.831054688
From Cutflow bin 5
Data_hist,205671.0
ZTT,256383.0
TT,75137.53125
ST,17933.73828125
VV,272105.9375
otherMc,1356325.25
Wjets,10391.05078125
mc sum,16211545.831054688
From Cutflow bin 5
Data_hist,205671.0
ZTT,256383.0
TT,75137.53125
ST,17933.73828125
VV,272105.9375
otherMc,1356325.25
Wjets,10391.05078125
mc sum,16211545.831054688
From Cutflow bin 5
Data_hist,205671.0
ZTT,256383.0
TT,75137.53125
ST,17933.73828125
VV,272105.9375
otherMc,1356325.25
Wjets,10391.05078125
mc sum,16211545.831054688
From Cutflow bin 5
Data_hist,205671.0
ZTT,256383.0
TT,75137.53125
ST,17933.73828125
VV,272105.9375
otherMc,1356325.25
Wjets,10391.05078125
mc sum,16211545.831054688
From Cutflow bin 5
Data_hist,205671.0
ZTT,256383.0
TT,75137.53125
ST,17933.73828125
VV,272105.9375
otherMc,1356325.25
Wjets,10391.05078125
mc sum,16211545.831054688
From Cutflow bin 5
Data_hist,205671.0
ZTT,256383.0
TT,75137.53125
ST,17933.73828125
VV,272105.9375
otherMc,1356325.25
Wjets,10391.05078125
mc sum,16211545.831054688
From Cutflow bin 5
Data_hist,205671.0
ZTT,256383.0
TT,75137.53125
ST,17933.73828125
VV,272105.9375
otherMc,1356325.25
Wjets,10391.05078125
mc sum,16211545.831054688
From Cutflow bin 5
Data_hist,205671.0
ZTT,256383.0
TT,75137.53125
ST,17933.73828125
VV,272105.9375
otherMc,1356325.25
Wjets,10391.05078125
mc sum,16211545.831054688
From Cutflow bin 5
Data_hist,205671.0
ZTT,256383.0
TT,75137.53125
ST,17933.73828125
VV,272105.9375
otherMc,1356325.25
Wjets,10391.05078125
mc sum,16211545.831054688
